#,Posession: Complete release,Possesion: partial,Artist,Name,Funding,Founder,ID KvX,Artist2,Title,Label,Year,Country,Styles,KvX link,Discogs Link1,KvX link,Discogs Link2,Join,Alternate Files Found On Soulseek,Notes,Check zips (admin)
376,TRUE,FALSE,"Roy The Boy, Mixmaster B",French Paradise,100%,SpecialK,1676,"Roy The Boy, Mixmaster B",French Paradise,Endless Wave,1990,Italy,Italo House,"https://kollektivx.com/music-legacy-projects/1676-Roy-The-Boy,-Mixmaster-B-French-Paradise",https://www.discogs.com/release/444194,"https://kollektivx.com/music-legacy-projects/1676-Roy-The-Boy,-Mixmaster-B-French-Paradise",https://www.discogs.com/release/444194,"Roy The Boy, Mixmaster BFrench Paradise",,,1676
377,TRUE,FALSE,"Goody Goody, Montana Orchestra",Esto Parese Amor,100%,SpecialK,1677,"Goody Goody, Montana Orchestra",Esto Parese Amor,Philly Sound Works,1989,USA,"Disco, Garage House","https://kollektivx.com/music-legacy-projects/1677-Goody-Goody,-Montana-Orchestra-Esto-Parese-Amor",https://www.discogs.com/release/949885,"https://kollektivx.com/music-legacy-projects/1677-Goody-Goody,-Montana-Orchestra-Esto-Parese-Amor",https://www.discogs.com/release/949885,"Goody Goody, Montana OrchestraEsto Parese Amor",,,
378,TRUE,FALSE,Fafá De Belém,Doce Misterio,100%,Sekker,1678,Fafá De Belém,Doce Misterio,Vogue,1987,France,"Soul, Neo Soul",https://kollektivx.com/music-legacy-projects/1678-Fafá-De-Belém-Doce-Misterio,https://www.discogs.com/release/2191485,https://kollektivx.com/music-legacy-projects/1678-Fafá-De-Belém-Doce-Misterio,https://www.discogs.com/release/2191485,Fafá De BelémDoce Misterio,,,1678
379,TRUE,FALSE,Deep Blue (3),Deep Blue,100%,_K_,1679,,,Èviva Records,1990,Italy,"Breaks, Downtempo, Euro House",https://kollektivx.com/music-legacy-projects/1679-Deep-Blue-Deep-Blue,https://www.discogs.com/release/426574,https://kollektivx.com/music-legacy-projects/1679-Deep-Blue-Deep-Blue,https://www.discogs.com/release/426574,Deep Blue (3)Deep Blue,,,
380,TRUE,FALSE,Unknown Artist,Pure Energy,100%,JimmyDee93,1681,Unknown Artist,Pure Energy,EVAR,1992,UK,"Techno, Trance, House",https://kollektivx.com/music-legacy-projects/1681-Unknown-Artist-Pure-Energy,https://www.discogs.com/release/488330,https://kollektivx.com/music-legacy-projects/1681-Unknown-Artist-Pure-Energy,https://www.discogs.com/release/488330,Unknown ArtistPure Energy,,,1681
381,TRUE,FALSE,Cocaine Mummies,Heaven Can Wait,100%,Spirit_Of_Ecstasy,1682,Cocaine Mummies,Heaven Can Wait,Molar Records (3),1996,UK,House,https://kollektivx.com/music-legacy-projects/1682-Cocaine-Mummies-Heaven-Can-Wait,https://www.discogs.com/release/118576,https://kollektivx.com/music-legacy-projects/1682-Cocaine-Mummies-Heaven-Can-Wait,https://www.discogs.com/release/118576,Cocaine MummiesHeaven Can Wait,,,1682
382,TRUE,FALSE,Sadi Lancreot,Marakudja Band,100%,molineroone,1698,Sadi Lancreot,Marakudja Band,Marakudja Productions,1986,France,"Fusion, Zouk",https://kollektivx.com/music-legacy-projects/1698-Sadi-Lancreot-Marakudja-Band,https://www.discogs.com/release/2568389,https://kollektivx.com/music-legacy-projects/1698-Sadi-Lancreot-Marakudja-Band,https://www.discogs.com/release/2568389,Sadi LancreotMarakudja Band,,,1698
383,FALSE,TRUE,Flex (3),From The Archives,100%,FF033E,1704,,,Flex Records Inc.,,US,"House, Acid House",https://kollektivx.com/music-legacy-projects/1704-Flex-From-The-Archives,https://www.discogs.com/release/522444,https://kollektivx.com/music-legacy-projects/1704-Flex-From-The-Archives,https://www.discogs.com/release/522444,Flex (3)From The Archives,,,1704
384,TRUE,FALSE,"E.V.O.E., Andy Omokaro",Someday We Are,100%,SpecialK,1709,"E.V.O.E., Andy Omokaro",Someday We Are,New Music International,1995,Italy,"Downtempo, Ragga, Euro House","https://kollektivx.com/music-legacy-projects/1709-E.V.O.E.,-Andy-Omokaro-Someday-We-Are",https://www.discogs.com/release/1732284,"https://kollektivx.com/music-legacy-projects/1709-E.V.O.E.,-Andy-Omokaro-Someday-We-Are",https://www.discogs.com/release/1732284,"E.V.O.E., Andy OmokaroSomeday We Are",,,1709
385,TRUE,FALSE,Olu Rowe,Reaching Out,100%,FF033E,1712,Olu Rowe,Reaching Out,10 Records,1992,UK,"Downtempo, Soul",https://kollektivx.com/music-legacy-projects/1712-Olu-Rowe-Reaching-Out,https://www.discogs.com/release/2766659,https://kollektivx.com/music-legacy-projects/1712-Olu-Rowe-Reaching-Out,https://www.discogs.com/release/2766659,Olu RoweReaching Out,,,1712
386,TRUE,FALSE,Mango Groove,We Are Party,100%,Barbarella,1713,Mango Groove,We Are Party,Priority (8),1986,South Africa,"Disco, Funk, Boogie",https://kollektivx.com/music-legacy-projects/1713-Mango-Groove-We-Are-Party,https://www.discogs.com/release/12754764,https://kollektivx.com/music-legacy-projects/1713-Mango-Groove-We-Are-Party,https://www.discogs.com/release/12754764,Mango GrooveWe Are Party,,,1713
387,TRUE,FALSE,The Secret,Tantrik,100%,Korner,1721,The Secret,Tantrik,Logic Records,1995,UK,"Progressive Trance, Goa Trance",https://kollektivx.com/music-legacy-projects/1721-The-Secret-Tantrik,https://www.discogs.com/release/549615,https://kollektivx.com/music-legacy-projects/1721-The-Secret-Tantrik,https://www.discogs.com/release/549615,The SecretTantrik,,,1721
388,FALSE,FALSE,Equinox (4),Modelle De Paris,100%,vanishvanish,1733,,,ZYX Music,1992,Germany,Euro House,https://kollektivx.com/music-legacy-projects/1733-Equinox-Modelle-De-Paris,https://www.discogs.com/release/632263,https://kollektivx.com/music-legacy-projects/1733-Equinox-Modelle-De-Paris,https://www.discogs.com/release/632263,Equinox (4)Modelle De Paris,,,
389,TRUE,FALSE,Alicante (2),Fantastikharem,100%,vanishvanish,1734,,,New Music International,1991,Italy,Downtempo,https://kollektivx.com/music-legacy-projects/1734-Alicante-Fantastikharem,https://www.discogs.com/release/972212,https://kollektivx.com/music-legacy-projects/1734-Alicante-Fantastikharem,https://www.discogs.com/release/972212,Alicante (2)Fantastikharem,,,1734
390,TRUE,FALSE,Blast Head,Stone Generation,100%,Lekooala,1742,Blast Head,Stone Generation,Sonic Plate,2000,Japan,"Electro, Breakbeat, Ambient, Experimental, Tribal, Dub, House, Psychedelic Rock, Breaks, Samba, Psychedelic",https://kollektivx.com/music-legacy-projects/1742-Blast-Head-Stone-Generation,https://www.discogs.com/release/4548530,https://kollektivx.com/music-legacy-projects/1742-Blast-Head-Stone-Generation,https://www.discogs.com/release/4548530,Blast HeadStone Generation,,,1742
391,FALSE,TRUE,"Lucio Dalla, Gianni Morandi",Dimmi Dimmi,100%,SpecialK,1745,"Lucio Dalla, Gianni Morandi",Dimmi Dimmi,RCA Italiana,1988,Italy,"Downtempo, Italo-Disco","https://kollektivx.com/music-legacy-projects/1745-Lucio-Dalla,-Gianni-Morandi-Dimmi-Dimmi",https://www.discogs.com/release/1202121,"https://kollektivx.com/music-legacy-projects/1745-Lucio-Dalla,-Gianni-Morandi-Dimmi-Dimmi",https://www.discogs.com/release/1202121,"Lucio Dalla, Gianni MorandiDimmi Dimmi",,,
392,TRUE,FALSE,Rozlyne Clarke,Dancing Is Like Making Love,100%,Alyosha,1765,Rozlyne Clarke,Dancing Is Like Making Love,ARS,1991,Belgium,"Deep House, Progressive House",https://kollektivx.com/music-legacy-projects/1765-Rozlyne-Clarke-Dancing-Is-Like-Making-Love,https://www.discogs.com/release/53215,https://kollektivx.com/music-legacy-projects/1765-Rozlyne-Clarke-Dancing-Is-Like-Making-Love,https://www.discogs.com/release/53215,Rozlyne ClarkeDancing Is Like Making Love,,,1765
393,FALSE,TRUE,Blue Zone,Put To The Right Mood,100%,SillyBear,1769,Blue Zone,Put To The Right Mood,Blue Village,1993,Italy,"Italo House, Italodance, House",https://kollektivx.com/music-legacy-projects/1769-Blue-Zone-Put-To-The-Right-Mood,https://www.discogs.com/release/2071296,https://kollektivx.com/music-legacy-projects/1769-Blue-Zone-Put-To-The-Right-Mood,https://www.discogs.com/release/2071296,Blue ZonePut To The Right Mood,,,1769
394,FALSE,FALSE,Various,Ambient House - The Compilation By DFC,100%,Omaisrayan,1772,Various,Ambient House - The Compilation By DFC,BCM Records,1990,Europe,"Deep House, Ambient, House",https://kollektivx.com/music-legacy-projects/1772-Various-Ambient-House--The-Compilation-By-Dfc,https://www.discogs.com/release/84869,https://kollektivx.com/music-legacy-projects/1772-Various-Ambient-House--The-Compilation-By-Dfc,https://www.discogs.com/release/84869,VariousAmbient House - The Compilation By DFC,,,
395,FALSE,TRUE,June Montana,I Need Your Love,100%,Omaisrayan,1773,June Montana,I Need Your Love,FFRR,1989,Europe,Euro House,https://kollektivx.com/music-legacy-projects/1773-June-Montana-I-Need-Your-Love,https://www.discogs.com/release/2286478,https://kollektivx.com/music-legacy-projects/1773-June-Montana-I-Need-Your-Love,https://www.discogs.com/release/2286478,June MontanaI Need Your Love,,,1773
396,TRUE,FALSE,Avant Garde (12),Walking Back To Happiness,100%,M,1794,,,CBS,1982,Netherlands,"Downtempo, Synth-pop",https://kollektivx.com/music-legacy-projects/1794-Avant-Garde-Walking-Back-To-Happiness,https://www.discogs.com/release/7535866,https://kollektivx.com/music-legacy-projects/1794-Avant-Garde-Walking-Back-To-Happiness,https://www.discogs.com/release/7535866,Avant Garde (12)Walking Back To Happiness,,,
397,FALSE,TRUE,The Broox,Hart EP,100%,Bobbi,1798,The Broox,Hart EP,Shakedown Productions,1994,UK,House,https://kollektivx.com/music-legacy-projects/1798-The-Broox-Hart-Ep,https://www.discogs.com/release/110929,https://kollektivx.com/music-legacy-projects/1798-The-Broox-Hart-Ep,https://www.discogs.com/release/110929,The BrooxHart EP,,,1798
398,TRUE,FALSE,DJ UFO,Essential,100%,snowy,1803,DJ UFO,Essential,Uforecordings,,Italy,"Trance, House",https://kollektivx.com/music-legacy-projects/1803-Dj-Ufo-Essential,https://www.discogs.com/release/10305431,https://kollektivx.com/music-legacy-projects/1803-Dj-Ufo-Essential,https://www.discogs.com/release/10305431,DJ UFOEssential,,,1803
399,TRUE,FALSE,Guillaume Des Bois,Disco Ajustements,100%,clichequiche,1804,Guillaume Des Bois,Disco Ajustements,Macadam Mambo,2014,France,"Synth-pop, Tribal, Disco, Hip Hop, Funk",https://kollektivx.com/music-legacy-projects/1804-Guillaume-Des-Bois-Disco-Ajustements,https://www.discogs.com/release/5373361,https://kollektivx.com/music-legacy-projects/1804-Guillaume-Des-Bois-Disco-Ajustements,https://www.discogs.com/release/5373361,Guillaume Des BoisDisco Ajustements,,,1804
400,FALSE,TRUE,Lara Li,Vem,100%,Black_Label,1809,Lara Li,Vem,EMI,1984,Portugal,"Funk, Synth-pop, Disco",https://kollektivx.com/music-legacy-projects/1809-Lara-Li-Vem,https://www.discogs.com/release/3420646,https://kollektivx.com/music-legacy-projects/1809-Lara-Li-Vem,https://www.discogs.com/release/3420646,Lara LiVem,,,1809
401,FALSE,TRUE,Gene Douglas,Believe In Dreams,100%,Underdog,1814,Gene Douglas,Believe In Dreams,ZYX Music,1998,Germany,"Trance, Ambient",https://kollektivx.com/music-legacy-projects/1814-Gene-Douglas-Believe-In-Dreams,https://www.discogs.com/release/3639152,https://kollektivx.com/music-legacy-projects/1814-Gene-Douglas-Believe-In-Dreams,https://www.discogs.com/release/3639152,Gene DouglasBelieve In Dreams,,,1814
402,FALSE,TRUE,Tru Funk,4am,100%,Archiebishop,1817,Tru Funk,17%,Three Stripe Records,1990,UK,"Downtempo, Acid House",https://kollektivx.com/music-legacy-projects/1817-Tru-Funk-04:00,https://www.discogs.com/release/227816,https://kollektivx.com/music-legacy-projects/1817-Tru-Funk-04:00,https://www.discogs.com/release/227816,Tru Funk4am,,,1817
403,TRUE,FALSE,Sandii & The Sunsetz,One Love,100%,telesales,1825,Sandii & The Sunsetz,One Love,Eastworld,1988,Japan,"Vocal, Reggae",https://kollektivx.com/music-legacy-projects/1825-Sandii-&-The-Sunsetz-One-Love,https://www.discogs.com/release/3737740,https://kollektivx.com/music-legacy-projects/1825-Sandii-&-The-Sunsetz-One-Love,https://www.discogs.com/release/3737740,Sandii & The SunsetzOne Love,,,
404,TRUE,FALSE,Chanaël,Manolito,100%,Otis,1830,Chanaël,Manolito,Orlando,1988,France,Europop,https://kollektivx.com/music-legacy-projects/1830-Chanaël-Manolito,https://www.discogs.com/release/3610262,https://kollektivx.com/music-legacy-projects/1830-Chanaël-Manolito,https://www.discogs.com/release/3610262,ChanaëlManolito,,,1830
405,TRUE,FALSE,Salsero,Parane',100%,Omaisrayan,1861,Salsero,Parane',A' La Mode,1992,Italy,House,https://kollektivx.com/music-legacy-projects/1861-Salsero-Parane,https://www.discogs.com/release/1048407,https://kollektivx.com/music-legacy-projects/1861-Salsero-Parane,https://www.discogs.com/release/1048407,SalseroParane',,,1861
406,TRUE,FALSE,Akasa,One Night In My Life,100%,baymabayma,1863,Akasa,One Night In My Life,WEA,1989,UK,"Experimental, Acid House, Euro House",https://kollektivx.com/music-legacy-projects/1863-Akasa-One-Night-In-My-Life,https://www.discogs.com/release/2431756,https://kollektivx.com/music-legacy-projects/1863-Akasa-One-Night-In-My-Life,https://www.discogs.com/release/2431756,AkasaOne Night In My Life,,,1863
407,FALSE,TRUE,Justine (16),Les Délices D'Alex,100%,reckimbodenlabyrinth,1866,,,Carrere,1987,France,Synth-pop,https://kollektivx.com/music-legacy-projects/1866-Justine-Les-Délices-Dalex,https://www.discogs.com/release/6417264,https://kollektivx.com/music-legacy-projects/1866-Justine-Les-Délices-Dalex,https://www.discogs.com/release/6417264,Justine (16)Les Délices D'Alex,,,1866
408,TRUE,FALSE,"Enrico Cosimi, Duilio Sorrenti, Pier Carlo Zanco, Federico Rapagnetta, Giuseppe Santamaria, Alessandro Cipriani, Alfredo Amadeo",Dynamic,100%,rainbow_maze,1868,"Enrico Cosimi, Duilio Sorrenti, Pier Carlo Zanco, Federico Rapagnetta, Giuseppe Santamaria, Alessandro Cipriani, Alfredo Amadeo",Dynamic,Primrose Music,1991,Italy,"Soundtrack, Theme","https://kollektivx.com/music-legacy-projects/1868-Enrico-Cosimi,-Duilio-Sorrenti,-Pier-Carlo-Zanco,-Federico-Rapagnetta,-Giuseppe-Santamaria,-Alessandro-Cipriani,-Alfredo-Amadeo-Dynamic",https://www.discogs.com/release/15748493,"https://kollektivx.com/music-legacy-projects/1868-Enrico-Cosimi,-Duilio-Sorrenti,-Pier-Carlo-Zanco,-Federico-Rapagnetta,-Giuseppe-Santamaria,-Alessandro-Cipriani,-Alfredo-Amadeo-Dynamic",https://www.discogs.com/release/15748493,"Enrico Cosimi, Duilio Sorrenti, Pier Carlo Zanco, Federico Rapagnetta, Giuseppe Santamaria, Alessandro Cipriani, Alfredo AmadeoDynamic",,,1868
409,FALSE,TRUE,Jeremy Gentile,Salgo Con Tigo (Esco Con Te),100%,colter5000,1869,Jeremy Gentile,Salgo Con Tigo (Esco Con Te),Radiohit,1988,Italy,"Italodance, Italo-Disco",https://kollektivx.com/music-legacy-projects/1869-Jeremy-Gentile-Salgo-Con-Tigo-(Esco-Con-Te),https://www.discogs.com/release/1386701,https://kollektivx.com/music-legacy-projects/1869-Jeremy-Gentile-Salgo-Con-Tigo-(Esco-Con-Te),https://www.discogs.com/release/1386701,Jeremy GentileSalgo Con Tigo (Esco Con Te),,,1869
410,TRUE,FALSE,T.O.D. (3),Fantasy,100%,colter5000,1870,,,Black Pearl Records (2),,UK,"Breakbeat, Downtempo",https://kollektivx.com/music-legacy-projects/1870-T.O.D.-Fantasy,https://www.discogs.com/release/511550,https://kollektivx.com/music-legacy-projects/1870-T.O.D.-Fantasy,https://www.discogs.com/release/511550,T.O.D. (3)Fantasy,,,1870
411,FALSE,TRUE,Jokotiya,Reggae Ya Xichangana,100%,FF033E,1876,Jokotiya,Reggae Ya Xichangana,Jokotiya,,South Africa,"Dub, Reggae",https://kollektivx.com/music-legacy-projects/1876-Jokotiya-Reggae-Ya-Xichangana,https://www.discogs.com/release/14292878,https://kollektivx.com/music-legacy-projects/1876-Jokotiya-Reggae-Ya-Xichangana,https://www.discogs.com/release/14292878,JokotiyaReggae Ya Xichangana,,,1876
412,FALSE,FALSE,Sound Of Mô,Oki,100%,FF033E,1878,Sound Of Mô,Oki,Omnisonus,1995,France,"Techno, Downtempo",https://kollektivx.com/music-legacy-projects/1878-Sound-Of-Mô-Oki,https://www.discogs.com/release/1575672,https://kollektivx.com/music-legacy-projects/1878-Sound-Of-Mô-Oki,https://www.discogs.com/release/1575672,Sound Of MôOki,,,
413,TRUE,FALSE,"MSG, Glenn ""Sweety G"" Toby",I Can Tell,100%,MTRL,1881,"MSG, Glenn ""Sweety G"" Toby",I Can Tell,Diamond Records (4),1987,USA,"Garage House, Soul, Funk","https://kollektivx.com/music-legacy-projects/1881-Msg,-Glenn-""Sweety-G""-Toby-I-Can-Tell",https://www.discogs.com/release/1044271,"https://kollektivx.com/music-legacy-projects/1881-Msg,-Glenn-""Sweety-G""-Toby-I-Can-Tell",https://www.discogs.com/release/1044271,"MSG, Glenn ""Sweety G"" TobyI Can Tell",,,1881
414,FALSE,TRUE,D.G. Sound Project,Xabrax,100%,Omaisrayan,1884,D.G. Sound Project,Xabrax,Oversky Records,1992,Italy,"Techno, Trance, House",https://kollektivx.com/music-legacy-projects/1884-D.G.-Sound-Project-Xabrax,https://www.discogs.com/release/150195,https://kollektivx.com/music-legacy-projects/1884-D.G.-Sound-Project-Xabrax,https://www.discogs.com/release/150195,D.G. Sound ProjectXabrax,,,1884
415,TRUE,FALSE,Funkydory,Free Your Mind / Isabelle,100%,DJWrongSpeed,1890,Funkydory,Free Your Mind / Isabelle,Devinyl Records,1994,UK,"House, Garage House",https://kollektivx.com/music-legacy-projects/1890-Funkydory-Free-Your-Mind-Isabelle,https://www.discogs.com/release/104025,https://kollektivx.com/music-legacy-projects/1890-Funkydory-Free-Your-Mind-Isabelle,https://www.discogs.com/release/104025,FunkydoryFree Your Mind / Isabelle,,,1890
416,TRUE,FALSE,Outstanding,Ramses,100%,SpecialK,1893,Outstanding,Ramses,Peanut Records,1989,Belgium,New Beat,https://kollektivx.com/music-legacy-projects/1893-Outstanding-Ramses,https://www.discogs.com/release/478270,https://kollektivx.com/music-legacy-projects/1893-Outstanding-Ramses,https://www.discogs.com/release/478270,OutstandingRamses,,,1893
417,TRUE,FALSE,Kima (2),Nani Nani,100%,vanishvanish,1903,,,BMG Ariola München GmbH,1994,Netherlands,Trance,https://kollektivx.com/music-legacy-projects/1903-Kima-Nani-Nani,https://www.discogs.com/release/957640,https://kollektivx.com/music-legacy-projects/1903-Kima-Nani-Nani,https://www.discogs.com/release/957640,Kima (2)Nani Nani,,,1903
418,FALSE,TRUE,Nina Soleng,Tweedle Dee,100%,reachit,1906,Nina Soleng,Tweedle Dee,Deutsche Schallplatten Berlin,1992,Germany,"Downtempo, Europop, Euro House",https://kollektivx.com/music-legacy-projects/1906-Nina-Soleng-Tweedle-Dee,https://www.discogs.com/release/1372444,https://kollektivx.com/music-legacy-projects/1906-Nina-Soleng-Tweedle-Dee,https://www.discogs.com/release/1372444,Nina SolengTweedle Dee,,,1906
419,TRUE,FALSE,Zanga Zanga,Oh Ciolili,100%,SpecialK,1907,Zanga Zanga,Oh Ciolili,Next Plateau Records Inc.,1989,USA,House,https://kollektivx.com/music-legacy-projects/1907-Zanga-Zanga-Oh-Ciolili,https://www.discogs.com/release/1703572,https://kollektivx.com/music-legacy-projects/1907-Zanga-Zanga-Oh-Ciolili,https://www.discogs.com/release/1703572,Zanga ZangaOh Ciolili,,,
420,TRUE,FALSE,Takis Gritzelis,Η Ζωή Μου,100%,Spirit_Of_Ecstasy,1911,Takis Gritzelis,Η Ζωή Μου,Columbia,1991,Greece,"House, New Beat",https://kollektivx.com/music-legacy-projects/1911-Takis-Gritzelis-Η-Ζωή-Μου,https://www.discogs.com/release/4962747,https://kollektivx.com/music-legacy-projects/1911-Takis-Gritzelis-Η-Ζωή-Μου,https://www.discogs.com/release/4962747,Takis GritzelisΗ Ζωή Μου,,,1911
421,TRUE,FALSE,Masterchefs,OL 'Slappers / Scientific 70's,100%,pau2guillen,1920,Masterchefs,OL 'Slappers / Scientific 70's,Club Masters,1997,UK,House,https://kollektivx.com/music-legacy-projects/1920-Masterchefs-Ol-Slappers-Scientific-70S,https://www.discogs.com/release/2183146,https://kollektivx.com/music-legacy-projects/1920-Masterchefs-Ol-Slappers-Scientific-70S,https://www.discogs.com/release/2183146,MasterchefsOL 'Slappers / Scientific 70's,,,1920
422,TRUE,FALSE,Eddie Fingers,Après Minuit (LP Sampler),100%,bananakush,1921,Eddie Fingers,Après Minuit (LP Sampler),Infinite Mass,1993,UK,"Progressive Trance, Progressive House",https://kollektivx.com/music-legacy-projects/1921-Eddie-Fingers-Après-Minuit-(Lp-Sampler),https://www.discogs.com/release/339831,https://kollektivx.com/music-legacy-projects/1921-Eddie-Fingers-Après-Minuit-(Lp-Sampler),https://www.discogs.com/release/339831,Eddie FingersAprès Minuit (LP Sampler),,,
423,FALSE,TRUE,Soft Rocks,Chocolate Love EP2,100%,SpecialK,1925,Soft Rocks,Chocolate Love EP2,Soft Rocks Recordings,2009,UK,Disco,https://kollektivx.com/music-legacy-projects/1925-Soft-Rocks-Chocolate-Love-Ep2,https://www.discogs.com/release/1693773,https://kollektivx.com/music-legacy-projects/1925-Soft-Rocks-Chocolate-Love-Ep2,https://www.discogs.com/release/1693773,Soft RocksChocolate Love EP2,,,
424,FALSE,TRUE,Wayne Numan,Let's Go Dancin' (To The Rhythm Of Love),100%,MTRL,1929,Wayne Numan,Let's Go Dancin' (To The Rhythm Of Love),Undercover Records (3),1994,USA,"House, Euro House",https://kollektivx.com/music-legacy-projects/1929-Wayne-Numan-Lets-Go-Dancin-(To-The-Rhythm-Of-Love),https://www.discogs.com/release/657603,https://kollektivx.com/music-legacy-projects/1929-Wayne-Numan-Lets-Go-Dancin-(To-The-Rhythm-Of-Love),https://www.discogs.com/release/657603,Wayne NumanLet's Go Dancin' (To The Rhythm Of Love),,,1929
425,FALSE,TRUE,Various,South African Boogie Cuts,100%,Otis,1934,Various,South African Boogie Cuts,SABC,2021,Canada,"Boogie, African",https://kollektivx.com/music-legacy-projects/1934-Various-South-African-Boogie-Cuts,https://www.discogs.com/release/21345313,https://kollektivx.com/music-legacy-projects/1934-Various-South-African-Boogie-Cuts,https://www.discogs.com/release/21345313,VariousSouth African Boogie Cuts,,,1934
426,TRUE,FALSE,Eric King,Walhalla EP,100%,Nestroy,1935,Eric King,Walhalla EP,Lunastrass Records,1998,Germany,"Progressive Trance, Acid, Tribal",https://kollektivx.com/music-legacy-projects/1935-Eric-King-Walhalla-Ep,https://www.discogs.com/release/2634720,https://kollektivx.com/music-legacy-projects/1935-Eric-King-Walhalla-Ep,https://www.discogs.com/release/2634720,Eric KingWalhalla EP,,,1935
427,TRUE,FALSE,Michele Casertano,Michele Casertano,100%,rainbow_maze,1956,Michele Casertano,Michele Casertano,Disco In,,Italy,"Chanson, Italo-Disco",https://kollektivx.com/music-legacy-projects/1956-Michele-Casertano-Michele-Casertano,https://www.discogs.com/release/4405987,https://kollektivx.com/music-legacy-projects/1956-Michele-Casertano-Michele-Casertano,https://www.discogs.com/release/4405987,Michele CasertanoMichele Casertano,,,1956
428,TRUE,FALSE,Various,Bongo Massive 5,100%,Omaisrayan,1960,Various,Bongo Massive 5,Tribe 4 DJ Records,2005,Italy,"House, Tribal House",https://kollektivx.com/music-legacy-projects/1960-Various-Bongo-Massive-5,https://www.discogs.com/release/7638808,https://kollektivx.com/music-legacy-projects/1960-Various-Bongo-Massive-5,https://www.discogs.com/release/7638808,VariousBongo Massive 5,,,1960
429,TRUE,FALSE,Various,Factors Of Dance,100%,davidmore,1964,Various,Factors Of Dance,Theory Records,1993,UK,"Techno, Progressive House, House",https://kollektivx.com/music-legacy-projects/1964-Various-Factors-Of-Dance,https://www.discogs.com/release/713227,https://kollektivx.com/music-legacy-projects/1964-Various-Factors-Of-Dance,https://www.discogs.com/release/713227,VariousFactors Of Dance,,,1964
430,TRUE,FALSE,Pisces (11),Disco 6,100%,M,1973,,,Music For Pleasure,1977,South Africa,Disco,https://kollektivx.com/music-legacy-projects/1973-Pisces-Disco-6,https://www.discogs.com/release/3997409,https://kollektivx.com/music-legacy-projects/1973-Pisces-Disco-6,https://www.discogs.com/release/3997409,Pisces (11)Disco 6,,,
431,TRUE,FALSE,Carol Okoro,My Kind Of Music,100%,Lekooala,1983,Carol Okoro,My Kind Of Music,Clover Sound,1984,Nigeria,Boogie,https://kollektivx.com/music-legacy-projects/1983-Carol-Okoro-My-Kind-Of-Music,https://www.discogs.com/release/7734850,https://kollektivx.com/music-legacy-projects/1983-Carol-Okoro-My-Kind-Of-Music,https://www.discogs.com/release/7734850,Carol OkoroMy Kind Of Music,,,
432,FALSE,TRUE,"Natacha Atlas, The Oval Five",Gandharva / Vertigo,100%,davidmore,1987,"Natacha Atlas, The Oval Five",Gandharva / Vertigo,Gee Zone Records,1992,UK,Progressive House,"https://kollektivx.com/music-legacy-projects/1987-Natacha-Atlas,-The-Oval-Five-Gandharva-Vertigo",https://www.discogs.com/release/132414,"https://kollektivx.com/music-legacy-projects/1987-Natacha-Atlas,-The-Oval-Five-Gandharva-Vertigo",https://www.discogs.com/release/132414,"Natacha Atlas, The Oval FiveGandharva / Vertigo",,,1987
433,TRUE,FALSE,Lilith (46),Sex Appeal,100%,choppinho,1991,,,Philips,1993,Brazil,"Latin, House",https://kollektivx.com/music-legacy-projects/1991-Lilith-Sex-Appeal,https://www.discogs.com/release/15762962,https://kollektivx.com/music-legacy-projects/1991-Lilith-Sex-Appeal,https://www.discogs.com/release/15762962,Lilith (46)Sex Appeal,,,1991
434,FALSE,TRUE,Joanne King,Two Pillows,100%,Otis,1992,Joanne King,Two Pillows,WEA,1982,France,"Synth-pop, Vocal",https://kollektivx.com/music-legacy-projects/1992-Joanne-King-Two-Pillows,https://www.discogs.com/release/929889,https://kollektivx.com/music-legacy-projects/1992-Joanne-King-Two-Pillows,https://www.discogs.com/release/929889,Joanne KingTwo Pillows,,,1992
435,TRUE,FALSE,Knights Of XS,Knights Of XS,100%,maxresdeddfault,1996,Knights Of XS,Knights Of XS,Imprint,1998,UK,Deep House,https://kollektivx.com/music-legacy-projects/1996-Knights-Of-Xs-Knights-Of-Xs,https://www.discogs.com/release/786816,https://kollektivx.com/music-legacy-projects/1996-Knights-Of-Xs-Knights-Of-Xs,https://www.discogs.com/release/786816,Knights Of XSKnights Of XS,,,
436,TRUE,FALSE,Echo Romeo,Your Tears,100%,pau2guillen,1998,Echo Romeo,Your Tears,Das Büro,1985,Germany,Synth-pop,https://kollektivx.com/music-legacy-projects/1998-Echo-Romeo-Your-Tears,https://www.discogs.com/release/423504,https://kollektivx.com/music-legacy-projects/1998-Echo-Romeo-Your-Tears,https://www.discogs.com/release/423504,Echo RomeoYour Tears,,,1998
437,TRUE,FALSE,Interdance (2),Vol. 4,100%,ArthurToasted,2001,,,Inter Dance,1991,Italy,"Techno, Progressive House",https://kollektivx.com/music-legacy-projects/2001-Interdance-Vol.-4,https://www.discogs.com/release/368812,https://kollektivx.com/music-legacy-projects/2001-Interdance-Vol.-4,https://www.discogs.com/release/368812,Interdance (2)Vol. 4,,,2001
