#,Posession: Complete release,Possesion: partial,Artist,Name,Funding,Founder,ID KvX,Artist2,Title,Label,Year,Country,Styles,KvX link,Discogs Link1,KvX link,Discogs Link2,Join,Alternate Files Found On Soulseek,Notes,Check zips (admin)
14,TRUE,FALSE,Christine Lewin,It's My House,100%,GoodNews,121,Christine Lewin,It's My House,TJT Records,,UK,"Soul, Reggae, Funk, Lovers Rock",https://kollektivx.com/music-legacy-projects/121-Christine-Lewin-Its-My-House,https://www.discogs.com/release/4968767,https://kollektivx.com/music-legacy-projects/121-Christine-Lewin-Its-My-House,https://www.discogs.com/release/4968767,Christine LewinIt's My House,,,121
15,TRUE,FALSE,Baka Beyond,Another Fine Day,100%,fedyah,126,Baka Beyond,Another Fine Day,Hannibal Records,,UK,"Progressive House, Tribal, Downtempo, Leftfield, African",https://kollektivx.com/music-legacy-projects/126-Baka-Beyond-Another-Fine-Day,https://www.discogs.com/release/2921237,https://kollektivx.com/music-legacy-projects/126-Baka-Beyond-Another-Fine-Day,https://www.discogs.com/release/2921237,Baka BeyondAnother Fine Day,,,126
16,TRUE,FALSE,Disco Dogs,Disco Dogs Vol 2,100%,Armandosavatteri,127,Disco Dogs,Disco Dogs Vol 2,Bean,1996,USA,"House, Breaks",https://kollektivx.com/music-legacy-projects/127-Disco-Dogs-Disco-Dogs-Vol-2,https://www.discogs.com/release/1624603,https://kollektivx.com/music-legacy-projects/127-Disco-Dogs-Disco-Dogs-Vol-2,https://www.discogs.com/release/1624603,Disco DogsDisco Dogs Vol 2,,Duplicate project,127
17,FALSE,TRUE,Slick Mission,Daddies Workin' Overtime / You Make Me Wanna Change,100%,fedyah,133,Slick Mission,Daddies Workin' Overtime / You Make Me Wanna Change,Jumpin' Records,1990,UK,House,https://kollektivx.com/music-legacy-projects/133-Slick-Mission-Daddies-Workin-Overtime-You-Make-Me-Wanna-Change,https://www.discogs.com/release/1784252,https://kollektivx.com/music-legacy-projects/133-Slick-Mission-Daddies-Workin-Overtime-You-Make-Me-Wanna-Change,https://www.discogs.com/release/1784252,Slick MissionDaddies Workin' Overtime / You Make Me Wanna Change,,,
18,FALSE,TRUE,"Red Top, Rookie, Reeload",Saturday Night,100%,OMOLOKO,139,"Red Top, Rookie, Reeload",Saturday Night,Milo's Tunes,2001,UK,UK Garage,"https://kollektivx.com/music-legacy-projects/139-Red-Top,-Rookie,-Reeload-Saturday-Night",https://www.discogs.com/release/1273067,"https://kollektivx.com/music-legacy-projects/139-Red-Top,-Rookie,-Reeload-Saturday-Night",https://www.discogs.com/release/1273067,"Red Top, Rookie, ReeloadSaturday Night",,,
19,TRUE,FALSE,Thomas Colone,Canabis Dubs,100%,OMOLOKO,140,Thomas Colone,Canabis Dubs,Tropicana Records,1998,USA,House,https://kollektivx.com/music-legacy-projects/140-Thomas-Colone-Canabis-Dubs,https://www.discogs.com/release/185858,https://kollektivx.com/music-legacy-projects/140-Thomas-Colone-Canabis-Dubs,https://www.discogs.com/release/185858,Thomas ColoneCanabis Dubs,,,
20,TRUE,FALSE,"Tizy A, X-Simble",Ppa Y App,100%,bgifudge,141,"Tizy A, X-Simble",Ppa Y App,Police Of Underground,1992,Italy,House,"https://kollektivx.com/music-legacy-projects/141-Tizy-A,-X-Simble-Ppa-Y-App",https://www.discogs.com/release/2171090,"https://kollektivx.com/music-legacy-projects/141-Tizy-A,-X-Simble-Ppa-Y-App",https://www.discogs.com/release/2171090,"Tizy A, X-SimblePpa Y App",,,141
21,TRUE,FALSE,Heavy (17),Thula Unga Batsheli,100%,OMOLOKO,148,,,X-Tra Dimensions,2007,South Africa,Kwaito,https://kollektivx.com/music-legacy-projects/148-Heavy-Thula-Unga-Batsheli,https://www.discogs.com/release/8956502,https://kollektivx.com/music-legacy-projects/148-Heavy-Thula-Unga-Batsheli,https://www.discogs.com/release/8956502,Heavy (17)Thula Unga Batsheli,,,148
22,TRUE,FALSE,Ecstasy Boys,Nirvana Sexy,100%,natural.language,151,Ecstasy Boys,Nirvana Sexy,Cutting Edge,1994,Japan,"Deep House, Trance, Dub",https://kollektivx.com/music-legacy-projects/151-Ecstasy-Boys-Nirvana-Sexy,https://www.discogs.com/release/3682287,https://kollektivx.com/music-legacy-projects/151-Ecstasy-Boys-Nirvana-Sexy,https://www.discogs.com/release/3682287,Ecstasy BoysNirvana Sexy,,,151
23,TRUE,FALSE,Victor Conte (3),Danger,100%,GoodNews,152,,,Paradise Records (34),1979,France,"Pop Rock, Reggae-Pop, Funk",https://kollektivx.com/music-legacy-projects/152-Victor-Conte-Danger,https://www.discogs.com/release/6716556,https://kollektivx.com/music-legacy-projects/152-Victor-Conte-Danger,https://www.discogs.com/release/6716556,Victor Conte (3)Danger,,,152
